timestamp,message
1785718904583,"INIT_START Runtime Version: nodejs:20.v101	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:18671876e7cc385452255180c58ca50cf8763398a4248ae92ed14410d196b942
"
1785718905311,"2026-08-03T01:01:45.311Z	undefined	INFO	◇ injected env (0) from atlas-credentials.env // tip: ⌁ auth for agents [www.vestauth.com]
"
1785718905420,"START RequestId: 93d65223-c6da-4a66-863b-47c7e1d000db Version: $LATEST
"
1785718906296,"2026-08-03T01:01:46.296Z	93d65223-c6da-4a66-863b-47c7e1d000db	INFO	MongoDB connected
"
1785718916357,"2026-08-03T01:01:56.357Z	93d65223-c6da-4a66-863b-47c7e1d000db	ERROR	MongooseError: Operation `users.findOne()` buffering timed out after 10000ms
    at Timeout._onTimeout (/var/task/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:142:25)
    at listOnTimeout (node:internal/timers:581:17)
    at process.processTimers (node:internal/timers:519:7)
"
1785718916457,"END RequestId: 93d65223-c6da-4a66-863b-47c7e1d000db
"
1785718916457,"REPORT RequestId: 93d65223-c6da-4a66-863b-47c7e1d000db	Duration: 11035.54 ms	Billed Duration: 11869 ms	Memory Size: 128 MB	Max Memory Used: 103 MB	Init Duration: 833.24 ms	
"
1785718940334,"START RequestId: 6c9ecbd2-e537-4b59-bf22-16b45480af12 Version: $LATEST
"
1785718940377,"2026-08-03T01:02:20.377Z	93d65223-c6da-4a66-863b-47c7e1d000db	ERROR	MongoDB connection error: MongooseServerSelectionError: Could not connect to any servers in your MongoDB Atlas cluster. One common reason is that you're trying to access the database from an IP that isn't whitelisted. Make sure your current IP address is on your Atlas cluster's IP whitelist: https://www.mongodb.com/docs/atlas/security-whitelist/
    at _handleConnectionErrors (/var/task/node_modules/mongoose/lib/connection.js:1172:11)
    at NativeConnection.openUri (/var/task/node_modules/mongoose/lib/connection.js:1103:11)
    at async connectDatabase (/var/task/src/config/db.js:16:3) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-t5ff7uq-shard-00-01.3nnb1qc.mongodb.net:27017' => [ServerDescription],
      'ac-t5ff7uq-shard-00-02.3nnb1qc.mongodb.net:27017' => [ServerDescription],
      'ac-t5ff7uq-shard-00-00.3nnb1qc.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-cmpw1m-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  cause: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-t5ff7uq-shard-00-01.3nnb1qc.mongodb.net:27017' => [ServerDescription],
      'ac-t5ff7uq-shard-00-02.3nnb1qc.mongodb.net:27017' => [ServerDescription],
      'ac-t5ff7uq-shard-00-00.3nnb1qc.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-cmpw1m-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  }
}
"
1785718940495,"END RequestId: 6c9ecbd2-e537-4b59-bf22-16b45480af12
"
